Gene,log2FC_G1G3_vs_G2G4,pvalue_ttest,direction
ENSG00000004766.18,0.6180718176256655,0.39490730322108825,Up_in_G1G3
ENSG00000004776.13,1.1638000628176752,0.02441550393774152,Up_in_G1G3
ENSG00000004777.19,0.42857142857142855,0.07814074941121588,Up_in_G1G3
ENSG00000004779.11,0.009122801334007554,0.9892514064085822,Up_in_G1G3
ENSG00000004799.9,-0.1307196427541205,0.7550745628305129,Up_in_G2G4
ENSG00000004838.14,0.17857142857142852,0.5052401481388842,Up_in_G1G3
ENSG00000004864.15,0.602994942387228,0.45673868588574895,Up_in_G1G3
ENSG00000004866.23,1.3345903649484645,0.05389071673835589,Up_in_G1G3
ENSG00000004897.13,-0.08933040269449448,0.7791501874035485,Up_in_G2G4
ENSG00000004948.16,0.2264232143887366,0.35591768374958205,Up_in_G1G3
ENSG00000004961.16,0.6597310259417969,0.35135741558452793,Up_in_G1G3
ENSG00000004975.13,0.580548870603632,0.27653575318355067,Up_in_G1G3
ENSG00000005007.15,0.5573290813384216,0.47195260163579866,Up_in_G1G3
ENSG00000005020.14,0.44438423648978403,0.3489448993204737,Up_in_G1G3
ENSG00000005022.7,-0.14582465676098275,0.7722189682384093,Up_in_G2G4
ENSG00000005059.17,0.7810856909716535,0.11315879688082287,Up_in_G1G3
ENSG00000005073.6,0.7246608929165551,0.3122176720948948,Up_in_G1G3
ENSG00000005100.13,0.5258898624864105,0.18219507570665883,Up_in_G1G3
ENSG00000005108.17,0.8976672208279401,0.06288714505205811,Up_in_G1G3
ENSG00000005156.13,-0.15621495934621735,0.8521238237575658,Up_in_G2G4
ENSG00000005175.11,0.20439103501623515,0.7928159500553151,Up_in_G1G3
ENSG00000005187.13,-0.20750590879661363,0.7337269116420639,Up_in_G2G4
ENSG00000005189.21,-0.748303234260978,0.18161851831907977,Up_in_G2G4
ENSG00000005194.16,0.5259709728377356,0.5393849185455982,Up_in_G1G3
ENSG00000005238.21,0.8619729852039613,0.4674685301991657,Up_in_G1G3
ENSG00000005243.11,-0.5610997217980529,0.5309276013677322,Up_in_G2G4
ENSG00000005249.15,0.8035028008189244,0.40128286952327663,Up_in_G1G3
ENSG00000005302.19,0.09142405163352069,0.8714908439935759,Up_in_G1G3
ENSG00000005339.15,0.5856335999688226,0.3132724657806275,Up_in_G1G3
ENSG00000005436.15,-0.07941686248247411,0.9139331705947715,Up_in_G2G4
ENSG00000005448.18,-0.21373901898729772,0.5690029947859817,Up_in_G2G4
ENSG00000005469.13,0.16504744881127767,0.8016397384340398,Up_in_G1G3
ENSG00000005483.23,-0.0685238583464855,0.94423739652825,Up_in_G2G4
ENSG00000005486.18,1.2233208382258955,0.16550445913374298,Up_in_G1G3
ENSG00000005700.15,1.2971595751947016,0.060595763553577084,Up_in_G1G3
ENSG00000005801.19,-0.15802911998404315,0.7565550002620025,Up_in_G2G4
ENSG00000005810.21,1.3432059283562978,0.21303865372937117,Up_in_G1G3
ENSG00000005812.12,-0.8617057578280162,0.15606024822720738,Up_in_G2G4
