"Gene","HUVEC_low1","HUVEC_low2","HUVEC_low3","HUVEC_high1","HUVEC_high2","HUVEC_high3","HUVEC_high4","HUAEC_low1","HUAEC_low2","HUAEC_low3","HUAEC_low4","HUAEC_high1","HUAEC_high2","HUAEC_high3","HUAEC_high4"
"ENSG00000008086.13",4,2,0,0,0,10,2,0,0,1,0,0,1,2,1
"ENSG00000008118.10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008130.15",37,31,22,31,37,41,33,27,91,45,32,60,10,38,17
"ENSG00000008226.21",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000008256.18",1,0,0,4,0,8,4,1,1,0,2,0,1,4,0
"ENSG00000008282.11",74,53,43,164,90,232,53,81,149,207,113,155,27,164,84
"ENSG00000008283.17",30,31,48,17,18,13,12,29,63,23,26,30,1,19,15
"ENSG00000008294.23",26,12,5,2,21,5,2,18,12,26,3,1,3,10,10
"ENSG00000008311.17",10,6,32,12,0,1,20,18,18,0,1,25,0,30,1
"ENSG00000008323.16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008324.13",37,61,59,343,100,460,72,336,434,449,505,443,84,486,429
"ENSG00000008382.17",22,9,2,1,9,2,0,19,7,11,10,0,0,1,12
"ENSG00000008394.14",332,314,126,519,354,1004,156,742,862,1014,870,580,150,644,659
"ENSG00000008405.13",8,8,6,6,12,6,8,12,6,6,4,4,0,0,9
"ENSG00000008441.19",13,10,6,12,8,24,1,8,22,35,13,11,6,3,11
"ENSG00000008513.18",12,16,11,13,6,18,19,15,8,33,15,21,3,7,5
"ENSG00000008516.20",0,0,0,0,1,0,0,0,4,0,0,0,0,0,6
"ENSG00000008517.20",144,211,75,751,373,1243,285,487,767,888,627,767,166,837,783
"ENSG00000008710.20",0,0,3,2,0,1,0,16,1,0,4,0,0,0,0
"ENSG00000008838.22",37,34,35,118,38,61,33,36,30,93,25,35,0,44,43
"ENSG00000008853.19",30,35,25,5,10,0,10,0,5,0,5,15,0,1,5
"ENSG00000008869.13",3,0,3,5,3,4,1,7,5,2,5,0,0,1,3
