Gene,log2FC_G1G3_vs_G2G4,pvalue_ttest,direction,candidate_set
ENSG00000156026.16,1.8790292714085914,0.04104184380482689,Up_in_G1G3,Up_in_low
ENSG00000110921.15,1.8671697297015903,0.013804095355534679,Up_in_G1G3,Up_in_low
ENSG00000068781.21,1.8653275567075922,0.04631093265700561,Up_in_G1G3,Up_in_low
ENSG00000143190.24,1.8620158323724387,0.033024624330202486,Up_in_G1G3,Up_in_low
ENSG00000162337.13,1.8574691619318853,0.042195252229905125,Up_in_G1G3,Up_in_low
ENSG00000135272.14,1.8440439111043088,0.0005443083003636867,Up_in_G1G3,Up_in_low
ENSG00000165821.12,1.8410110938776663,0.012628008537047264,Up_in_G1G3,Up_in_low
ENSG00000141027.24,1.8387255207889366,0.04316514309102746,Up_in_G1G3,Up_in_low
ENSG00000096872.18,1.8377197700851422,0.0096033581470481,Up_in_G1G3,Up_in_low
ENSG00000132912.15,1.83418641152882,0.007027848624977773,Up_in_G1G3,Up_in_low
ENSG00000151612.19,1.8275354750488377,0.02992069206153425,Up_in_G1G3,Up_in_low
ENSG00000148606.16,1.826111847643628,0.048963814190002265,Up_in_G1G3,Up_in_low
ENSG00000214655.11,1.818709458451459,0.031347660725779526,Up_in_G1G3,Up_in_low
ENSG00000163558.14,1.816222473058955,0.0037989136041636064,Up_in_G1G3,Up_in_low
ENSG00000073150.14,1.8068145398779425,0.042912333838452756,Up_in_G1G3,Up_in_low
ENSG00000080298.17,1.7997770243197329,0.006483501471972905,Up_in_G1G3,Up_in_low
ENSG00000181350.13,1.7959897278410517,0.01114234429813606,Up_in_G1G3,Up_in_low
ENSG00000114993.17,1.7853381945919928,0.035093500269048714,Up_in_G1G3,Up_in_low
ENSG00000198793.15,1.7775229177446814,0.04077086225594137,Up_in_G1G3,Up_in_low
ENSG00000101187.16,1.772041789960084,0.023259412592651702,Up_in_G1G3,Up_in_low
ENSG00000188690.17,1.768153137104387,0.04747003024970042,Up_in_G1G3,Up_in_low
ENSG00000105976.17,1.7665836923222997,0.03437182217441934,Up_in_G1G3,Up_in_low
ENSG00000075539.16,1.7624412604860713,0.011940724968881504,Up_in_G1G3,Up_in_low
ENSG00000147133.19,1.756589786242158,0.010487076738214016,Up_in_G1G3,Up_in_low
ENSG00000149548.16,1.7534429686075588,0.030779305012121002,Up_in_G1G3,Up_in_low
ENSG00000163913.15,1.7507357614888166,0.04936835050596761,Up_in_G1G3,Up_in_low
ENSG00000107789.16,1.7434470233752808,0.03996419452190937,Up_in_G1G3,Up_in_low
ENSG00000139083.12,1.741620513430141,0.007421609733932351,Up_in_G1G3,Up_in_low
ENSG00000156502.15,1.7280328248334795,0.027885848537074546,Up_in_G1G3,Up_in_low
ENSG00000079739.18,1.7250825098169775,0.016203549743001935,Up_in_G1G3,Up_in_low
ENSG00000138162.20,1.7234854991288584,0.028178277897792505,Up_in_G1G3,Up_in_low
ENSG00000163626.18,1.721192583003536,0.009199417684802584,Up_in_G1G3,Up_in_low
ENSG00000276358.2,1.718363995861706,0.01672431941919105,Up_in_G1G3,Up_in_low
ENSG00000123143.14,1.7120119548815553,0.03389432758128131,Up_in_G1G3,Up_in_low
ENSG00000151445.17,1.6942185830027703,0.034175138204463995,Up_in_G1G3,Up_in_low
ENSG00000150995.21,1.689025661180902,0.030054380171314114,Up_in_G1G3,Up_in_low
ENSG00000164867.12,1.669409956669112,0.025993195767031973,Up_in_G1G3,Up_in_low
ENSG00000104419.17,1.6684919506293627,0.018678772833075338,Up_in_G1G3,Up_in_low
ENSG00000202058.1,1.6621083216561026,0.001314305772354039,Up_in_G1G3,Up_in_low
ENSG00000117152.14,1.6605307361179205,0.04272165908994447,Up_in_G1G3,Up_in_low
ENSG00000163743.15,1.6519705983276476,0.04008515256322693,Up_in_G1G3,Up_in_low
ENSG00000201428.1,1.6516766419276767,0.009932737202877219,Up_in_G1G3,Up_in_low
ENSG00000278488.2,1.6506560423877359,0.034781666940868775,Up_in_G1G3,Up_in_low
ENSG00000276114.2,1.6486401037561729,0.028398910766369148,Up_in_G1G3,Up_in_low
ENSG00000151413.18,1.6486259633526112,0.04384080676019437,Up_in_G1G3,Up_in_low
ENSG00000141458.14,1.6338268388159878,0.005307253597119994,Up_in_G1G3,Up_in_low
ENSG00000274736.5,1.6326022645387332,0.038882611852146656,Up_in_G1G3,Up_in_low
ENSG00000133943.22,1.6282264706968506,0.04865856845558734,Up_in_G1G3,Up_in_low
ENSG00000197563.12,1.6282010311750852,0.030251870869029595,Up_in_G1G3,Up_in_low
ENSG00000125734.17,1.6280885455193344,0.011809792233715592,Up_in_G1G3,Up_in_low
ENSG00000288390.1,1.6269955496833233,0.0489308226651371,Up_in_G1G3,Up_in_low
ENSG00000104524.14,1.616195376486367,0.014526896255264727,Up_in_G1G3,Up_in_low
ENSG00000109572.17,1.6127805409980989,0.04137083914366335,Up_in_G1G3,Up_in_low
ENSG00000185246.19,1.6105074822055494,0.003974579624815445,Up_in_G1G3,Up_in_low
ENSG00000112425.16,1.6082393338946621,0.04347035066243068,Up_in_G1G3,Up_in_low
ENSG00000139517.10,1.606706362601805,0.024395259723413,Up_in_G1G3,Up_in_low
ENSG00000148341.19,1.606131281993604,0.02742520336503435,Up_in_G1G3,Up_in_low
ENSG00000072274.15,1.6038848882828916,0.03786404009229835,Up_in_G1G3,Up_in_low
